dataset,method,n_nodes,n_edges,k%,k_frac,delta_L,resolution,budget_B,n_cases,coverage,purity_induced,ocr_b100,edges_per_case_median,edges_per_case_max,e_ind_total,time_s,ram_mb
bitcoin_otc,BTCS_v3,5881,35592,1%,0.01,30,1.0,100,67.0,0.0628683693516699,0.7249190938511327,0.0,2.0,39.0,309.0,0.0201822749950224,1.125
bitcoin_otc,BTCS_v3,5881,35592,5%,0.05,30,1.0,100,183.0,0.2438955936008981,0.7008064516129032,0.0,1.0,100.0,1240.0,0.0939463089889613,1.9296875
bitcoin_otc,BTCS_v3,5881,35592,10%,0.1,30,1.0,100,241.0,0.3707549817569464,0.7258241758241758,0.0,1.0,100.0,1820.0,0.1934265029995003,1.8984375
bitcoin_otc,B0_Random,5881,35592,1%,0.01,30,1.0,100,7.0,0.0474319393769295,0.7379912663755459,0.0,14.0,100.0,229.0,0.0047562120016664,0.125
bitcoin_otc,B0_Random,5881,35592,5%,0.05,30,1.0,100,35.0,0.0968285152960987,0.6160714285714286,0.0,7.0,100.0,560.0,0.0048279629991156,0.0
bitcoin_otc,B0_Random,5881,35592,10%,0.1,30,1.0,100,71.0,0.1254560763401628,0.6278089887640449,0.0,3.0,100.0,712.0,0.0066925630089826,0.0
bitcoin_otc,B1_WCC,5881,35592,1%,0.01,30,1.0,100,36.0,0.077462812236879,0.8679245283018868,0.0,2.0,100.0,318.0,0.0019690610060933,0.0
bitcoin_otc,B1_WCC,5881,35592,5%,0.05,30,1.0,100,69.0,0.054448498456357,0.9150943396226416,0.0,1.0,100.0,212.0,0.0050695899990387,0.0
bitcoin_otc,B1_WCC,5881,35592,10%,0.1,30,1.0,100,69.0,0.0538871737300028,0.9186602870813396,0.0,1.0,100.0,209.0,0.0139589240134228,0.0
bitcoin_otc,B2_Louvain,5881,35592,1%,0.01,30,1.0,100,41.0,0.0808307605950042,0.768,0.0,2.0,100.0,375.0,0.0044845430093118,0.25
bitcoin_otc,B2_Louvain,5881,35592,5%,0.05,30,1.0,100,82.0,0.1902890822340724,0.6692991115498519,0.0,1.0,100.0,1013.0,0.0062418919987976,0.0
bitcoin_otc,B2_Louvain,5881,35592,10%,0.1,30,1.0,100,82.0,0.2104967723828234,0.6297229219143576,0.0,1.0,100.0,1191.0,0.0143701779888942,0.0
bitcoin_otc,B3_Greedy,5881,35592,1%,0.01,30,1.0,100,68.0,0.2054448498456357,0.1260981912144702,0.0,98.5,100.0,5805.0,0.9919069549941923,1.5
bitcoin_otc,B3_Greedy,5881,35592,5%,0.05,30,1.0,100,142.0,0.2786977266348582,0.1256325910931174,0.0,58.5,100.0,7904.0,1.0736925520031946,0.125
bitcoin_otc,B3_Greedy,5881,35592,10%,0.1,30,1.0,100,197.0,0.3174291327532977,0.1259605746742399,0.0,31.0,100.0,8979.0,1.2163663069950417,0.0
bitcoin_alpha,BTCS_v3,3783,24186,1%,0.01,30,1.0,100,73.0,0.1100260416666666,0.6575875486381323,0.0,1.0,39.0,257.0,0.0056219690013676,0.0
bitcoin_alpha,BTCS_v3,3783,24186,5%,0.05,30,1.0,100,138.0,0.3880208333333333,0.5617342130065975,0.0,1.0,100.0,1061.0,0.0373093110101763,0.0
bitcoin_alpha,BTCS_v3,3783,24186,10%,0.1,30,1.0,100,202.0,0.4036458333333333,0.3858120721841941,0.0,0.0,100.0,1607.0,0.0752977130032377,0.0
bitcoin_alpha,B0_Random,3783,24186,1%,0.01,30,1.0,100,4.0,0.0970052083333333,0.6157024793388429,0.0,59.5,100.0,242.0,0.001343721000012,0.0
bitcoin_alpha,B0_Random,3783,24186,5%,0.05,30,1.0,100,24.0,0.1647135416666666,0.5476190476190477,0.0,7.0,100.0,462.0,0.0023330640105996,0.0
bitcoin_alpha,B0_Random,3783,24186,10%,0.1,30,1.0,100,48.0,0.1764322916666666,0.5241779497098646,0.0,2.5,100.0,517.0,0.0049649629945633,0.0
bitcoin_alpha,B1_WCC,3783,24186,1%,0.01,30,1.0,100,28.0,0.095703125,0.9735099337748344,0.0,1.0,100.0,151.0,0.0016072650032583,0.0
bitcoin_alpha,B1_WCC,3783,24186,5%,0.05,30,1.0,100,46.0,0.10546875,0.9204545454545454,0.0,1.0,100.0,176.0,0.0033198649907717,0.0
bitcoin_alpha,B1_WCC,3783,24186,10%,0.1,30,1.0,100,31.0,0.0859375,0.8407643312101911,0.0,1.0,100.0,157.0,0.0072380689962301,0.0
bitcoin_alpha,B2_Louvain,3783,24186,1%,0.01,30,1.0,100,37.0,0.12890625,0.6246056782334385,0.0,2.0,67.0,317.0,0.0023946900037117,0.0
bitcoin_alpha,B2_Louvain,3783,24186,5%,0.05,30,1.0,100,58.0,0.4114583333333333,0.5830258302583026,0.0,1.5,100.0,1084.0,0.0044756679999409,0.0
bitcoin_alpha,B2_Louvain,3783,24186,10%,0.1,30,1.0,100,51.0,0.4069010416666667,0.4464285714285714,0.0,2.0,100.0,1400.0,0.0088696669990895,0.0
bitcoin_alpha,B3_Greedy,3783,24186,1%,0.01,30,1.0,100,57.0,0.208984375,0.0703638754932047,0.0,97.0,100.0,4562.0,0.4371318829944357,0.0
bitcoin_alpha,B3_Greedy,3783,24186,5%,0.05,30,1.0,100,107.0,0.2955729166666667,0.080696765019552,0.0,46.0,100.0,5626.0,0.5092821059952257,0.0
bitcoin_alpha,B3_Greedy,3783,24186,10%,0.1,30,1.0,100,143.0,0.3046875,0.0772404687242119,0.0,18.0,100.0,6059.0,0.5046012660022825,0.125
ibm_aml_txns,BTCS_v3,9999,1323234,1%,0.01,7,1.0,100,2278.0,0.0215241419429901,0.0026971861787432,0.0,0.0,100.0,13718.0,0.4974923499976285,20.25
ibm_aml_txns,BTCS_v3,9999,1323234,5%,0.05,7,1.0,100,2002.0,0.0052356020942408,0.0003042802082628,0.0,0.0,100.0,29578.0,2.4676370170054724,62.9140625
ibm_aml_txns,BTCS_v3,9999,1323234,10%,0.1,7,1.0,100,424.0,0.0040721349621873,0.0004025996434117,0.0,0.0,100.0,17387.0,6.454652398999315,60.9609375
ibm_aml_txns,B0_Random,9999,1323234,1%,0.01,7,1.0,100,264.0,0.0063990692262943,0.0018493611297915,0.0,2.0,100.0,5948.0,0.1931518409983255,-4.0
ibm_aml_txns,B0_Random,9999,1323234,5%,0.05,7,1.0,100,1323.0,0.004653868528214,0.0004376846482109,0.0,0.0,100.0,18278.0,0.3527626599970972,-1.0
ibm_aml_txns,B0_Random,9999,1323234,10%,0.1,7,1.0,100,2646.0,0.0029086678301337,0.0002727173557325,0.0,0.0,100.0,18334.0,0.4722258149995468,-2.0
ibm_aml_txns,B1_WCC,9999,1323234,1%,0.01,7,1.0,100,7.0,0.0,0.0,0.0,5.0,100.0,128.0,0.3474470250075683,-6.078125
ibm_aml_txns,B1_WCC,9999,1323234,5%,0.05,7,1.0,100,2.0,0.0,0.0,0.0,61.0,100.0,122.0,0.5134658180031693,9.94140625
ibm_aml_txns,B1_WCC,9999,1323234,10%,0.1,7,1.0,100,1.0,0.0,0.0,0.0,100.0,100.0,100.0,0.7347484969941434,-6.97265625
ibm_aml_txns,B2_Louvain,9999,1323234,1%,0.01,7,1.0,100,51.0,0.0,0.0,0.0,100.0,100.0,4528.0,0.4182743460114579,-1.0
ibm_aml_txns,B2_Louvain,9999,1323234,5%,0.05,7,1.0,100,17.0,0.0005817335660267,0.000616522811344,0.0,100.0,100.0,1622.0,0.838776203992893,0.0
ibm_aml_txns,B2_Louvain,9999,1323234,10%,0.1,7,1.0,100,23.0,0.0017452006980802,0.0013940520446096,0.0,100.0,100.0,2152.0,1.132114084000932,1.109375
ibm_aml_txns,B3_Greedy,9999,1323234,1%,0.01,7,1.0,100,1732.0,0.2117510180337405,0.0032682672796164,0.0,83.0,100.0,111374.0,9.468668248999164,35.625
ibm_aml_txns,B3_Greedy,9999,1323234,5%,0.05,7,1.0,100,2276.0,0.2158231529959278,0.0026485811172586,0.0,82.0,100.0,140075.0,10.738943589007247,1.25
ibm_aml_txns,B3_Greedy,9999,1323234,10%,0.1,7,1.0,100,2294.0,0.2158231529959278,0.0026412649594555,0.0,82.0,100.0,140463.0,9.31943020799372,1.375
IBM_HI_Small,BTCS_v3,515088,5078345,1%,0.01,30,1.0,100,34265.0,0.0166119374154915,0.0001308464395314,0.0,16.0,100.0,657259.0,2.0062080010102363,-20.29296875
IBM_HI_Small,BTCS_v3,515088,5078345,5%,0.05,30,1.0,100,126732.0,0.0438477882943789,0.0001716716126241,0.0,2.0,100.0,1322292.0,10.832154085990624,135.8046875
IBM_HI_Small,BTCS_v3,515088,5078345,10%,0.1,30,1.0,100,190416.0,0.0436546262314081,0.0001740623928957,0.0,2.0,100.0,1298385.0,28.62980101798894,302.33203125
IBM_HI_Small,B0_Random,515088,5078345,1%,0.01,30,1.0,100,1015.0,0.0086922928336874,0.0004433497536945,0.0,100.0,100.0,101500.0,1.1398300529981498,-324.9296875
IBM_HI_Small,B0_Random,515088,5078345,5%,0.05,30,1.0,100,5078.0,0.0270426888159165,0.0003217274003736,0.0,100.0,100.0,435151.0,1.554742320004152,-0.8671875
IBM_HI_Small,B0_Random,515088,5078345,10%,0.1,30,1.0,100,10156.0,0.025304230249179,0.0002337641016855,0.0,47.0,100.0,560394.0,2.4585079190001125,4.1015625
IBM_HI_Small,B1_WCC,515088,5078345,1%,0.01,30,1.0,100,29671.0,0.0169982615414332,0.0001337939087282,0.0,18.0,100.0,657728.0,1.226914693004801,5.23046875
IBM_HI_Small,B1_WCC,515088,5078345,5%,0.05,30,1.0,100,47759.0,0.0378597643422831,0.0002163754246091,0.0,6.0,100.0,905833.0,4.038656030999846,22.0390625
IBM_HI_Small,B1_WCC,515088,5078345,10%,0.1,30,1.0,100,48654.0,0.028781147382654,0.0003336438385611,0.0,2.0,100.0,446584.0,4.168307309999364,-6.31640625
IBM_HI_Small,B2_Louvain,515088,5078345,1%,0.01,30,1.0,100,29671.0,0.0169982615414332,0.0001337939087282,0.0,18.0,100.0,657728.0,1.3789171099924715,-30.78125
IBM_HI_Small,B2_Louvain,515088,5078345,5%,0.05,30,1.0,100,48193.0,0.0417230056016998,0.0002275557353526,0.0,7.0,100.0,949218.0,4.343078154997784,87.4375
IBM_HI_Small,B2_Louvain,515088,5078345,10%,0.1,30,1.0,100,48913.0,0.0339965230828665,0.0003728244844006,0.0,2.0,100.0,472072.0,7.839204258998507,-11.5078125
IBM_HI_Small,B3_Greedy,515088,5078345,1%,0.01,30,1.0,100,,,,,,,,,
IBM_HI_Small,B3_Greedy,515088,5078345,5%,0.05,30,1.0,100,,,,,,,,,
IBM_HI_Small,B3_Greedy,515088,5078345,10%,0.1,30,1.0,100,,,,,,,,,
IBM_LI_Small,BTCS_v3,705907,6924049,1%,0.01,30,1.0,100,48610.0,0.0123422159887798,4.648715581015491e-05,0.0,17.0,100.0,946498.0,3.1521326639922336,42.6875
IBM_LI_Small,BTCS_v3,705907,6924049,5%,0.05,30,1.0,100,174466.0,0.0403927068723702,7.970535586780866e-05,0.0,2.0,100.0,1806654.0,23.59326449299988,473.8203125
IBM_LI_Small,BTCS_v3,705907,6924049,10%,0.1,30,1.0,100,261181.0,0.0496493688639551,0.0001002907297935,0.0,2.0,100.0,1764869.0,56.18844614700356,338.51171875
IBM_LI_Small,B0_Random,705907,6924049,1%,0.01,30,1.0,100,1384.0,0.0075736325385694,0.0001950867052023,0.0,100.0,100.0,138400.0,2.973551810995559,-437.75390625
IBM_LI_Small,B0_Random,705907,6924049,5%,0.05,30,1.0,100,6924.0,0.0246844319775596,0.0001490807814543,0.0,100.0,100.0,590284.0,3.3154852489969926,-1.96875
IBM_LI_Small,B0_Random,705907,6924049,10%,0.1,30,1.0,100,13848.0,0.0244039270687237,0.0001134657796338,0.0,48.0,100.0,766751.0,4.765741822004202,11.43359375
IBM_LI_Small,B1_WCC,705907,6924049,1%,0.01,30,1.0,100,41700.0,0.0117812061711079,4.4263596037775816e-05,0.0,20.0,100.0,948861.0,2.676710006009671,6.22265625
IBM_LI_Small,B1_WCC,705907,6924049,5%,0.05,30,1.0,100,64915.0,0.0359046283309957,0.0001049454734475,0.0,6.0,100.0,1219681.0,7.013399814008153,69.12109375
IBM_LI_Small,B1_WCC,705907,6924049,10%,0.1,30,1.0,100,66237.0,0.0302945301542777,0.000182426885669,0.0,2.0,100.0,592018.0,10.399417561013252,-28.51953125
IBM_LI_Small,B2_Louvain,705907,6924049,1%,0.01,30,1.0,100,41700.0,0.0117812061711079,4.4263596037775816e-05,0.0,20.0,100.0,948861.0,3.510838675996638,-54.8671875
IBM_LI_Small,B2_Louvain,705907,6924049,5%,0.05,30,1.0,100,65447.0,0.0387096774193548,0.0001084176909388,0.0,6.0,100.0,1272855.0,8.745086019000155,146.4609375
IBM_LI_Small,B2_Louvain,705907,6924049,10%,0.1,30,1.0,100,66600.0,0.0330995792426367,0.0001879357960355,0.0,2.0,100.0,627874.0,15.88032403300167,-18.62109375
IBM_LI_Small,B3_Greedy,705907,6924049,1%,0.01,30,1.0,100,,,,,,,,,
IBM_LI_Small,B3_Greedy,705907,6924049,5%,0.05,30,1.0,100,,,,,,,,,
IBM_LI_Small,B3_Greedy,705907,6924049,10%,0.1,30,1.0,100,,,,,,,,,
paysim,BTCS_v3,9073900,6362620,1%,0.01,24,1.0,100,44807.0,0.2505783513941312,0.032344759300297,0.0,1.0,12.0,63627.0,3.37283470100374,-77.7578125
paysim,BTCS_v3,9073900,6362620,5%,0.05,24,1.0,100,156678.0,0.470108364787532,0.0121365098025656,0.0,1.0,26.0,318131.0,8.145689883996965,163.61328125
paysim,BTCS_v3,9073900,6362620,10%,0.1,24,1.0,100,247350.0,0.5580177766954828,0.0072030075660655,0.0,2.0,37.0,636262.0,17.528163050999865,308.91015625
paysim,B0_Random,9073900,6362620,1%,0.01,24,1.0,100,1272.0,0.2309752830877876,0.0423295771505076,0.0,34.0,50.0,44815.0,2.819913448998705,-398.62890625
paysim,B0_Random,9073900,6362620,5%,0.05,24,1.0,100,6362.0,0.3808596128089614,0.0199591628381827,0.0,22.0,50.0,156720.0,2.1997539829899324,-1.94140625
paysim,B0_Random,9073900,6362620,10%,0.1,24,1.0,100,12725.0,0.4094727870449288,0.0135895260031518,0.0,16.0,50.0,247470.0,3.1094593960006023,0.0
paysim,B1_WCC,9073900,6362620,1%,0.01,24,1.0,100,44807.0,0.2505783513941312,0.032344759300297,0.0,1.0,12.0,63627.0,1.9193115229863904,-47.25
paysim,B1_WCC,9073900,6362620,5%,0.05,24,1.0,100,156678.0,0.470108364787532,0.0121365098025656,0.0,1.0,26.0,318131.0,6.71950578900578,-16.56640625
paysim,B1_WCC,9073900,6362620,10%,0.1,24,1.0,100,247350.0,0.5580177766954828,0.0072030075660655,0.0,2.0,37.0,636262.0,9.3265524150047,237.03125
paysim,B2_Louvain,9073900,6362620,1%,0.01,24,1.0,100,44807.0,0.2505783513941312,0.032344759300297,0.0,1.0,12.0,63627.0,2.4762467669934267,-247.98828125
paysim,B2_Louvain,9073900,6362620,5%,0.05,24,1.0,100,156678.0,0.470108364787532,0.0121365098025656,0.0,1.0,26.0,318131.0,6.527093823999167,43.6328125
paysim,B2_Louvain,9073900,6362620,10%,0.1,24,1.0,100,247350.0,0.5580177766954828,0.0072030075660655,0.0,2.0,37.0,636262.0,10.193862294006976,169.5390625
paysim,B3_Greedy,9073900,6362620,1%,0.01,24,1.0,100,,,,,,,,,
paysim,B3_Greedy,9073900,6362620,5%,0.05,24,1.0,100,,,,,,,,,
paysim,B3_Greedy,9073900,6362620,10%,0.1,24,1.0,100,,,,,,,,,
dgraph_fin,BTCS_v3,3700550,4300999,1%,0.01,30,1.0,100,15594.0,0.0089561123285611,0.6538532429498863,0.0,2.0,71.0,48829.0,3.352099197989446,-250.94921875
dgraph_fin,BTCS_v3,3700550,4300999,5%,0.05,30,1.0,100,85915.0,0.0466056146327396,0.6780462720739178,0.0,2.0,98.0,245029.0,6.613448723990587,73.23046875
