dataset,method,k%,auc_purity,yield_b100,n_cases_b100
dgraph_fin,BTCS_v3,1%,0.6664,0.766,14
dgraph_fin,BTCS_v3,5%,0.6721,0.8,12
dgraph_fin,BTCS_v3,10%,0.698,0.8333,12
dgraph_fin,B0_Random,1%,0.648,0.6029,1
dgraph_fin,B0_Random,5%,0.6811,0.7548,1
dgraph_fin,B0_Random,10%,0.749,0.8056,1
dgraph_fin,B1_WCC,1%,0.6662,0.766,14
dgraph_fin,B1_WCC,5%,0.672,0.8,12
dgraph_fin,B1_WCC,10%,0.6979,0.8333,12
dgraph_fin,B2_Louvain,1%,0.6662,0.766,14
dgraph_fin,B2_Louvain,5%,0.672,0.8,12
dgraph_fin,B2_Louvain,10%,0.6979,0.8333,12
dgraph_fin,B3_Greedy,1%,0.8104,0.92,1
dgraph_fin,B3_Greedy,5%,0.8128,0.92,1
dgraph_fin,B3_Greedy,10%,0.8141,0.92,1
elliptic,BTCS_v3,1%,0.9953,1.0,50
elliptic,BTCS_v3,5%,0.9421,1.0,49
elliptic,BTCS_v3,10%,0.7006,1.0,49
elliptic,B0_Random,1%,0.9892,1.0,1
elliptic,B0_Random,5%,0.6716,0.788,1
elliptic,B0_Random,10%,0.3334,0.4621,1
elliptic,B1_WCC,1%,0.9953,1.0,50
elliptic,B1_WCC,5%,0.9408,1.0,49
elliptic,B1_WCC,10%,0.6945,1.0,49
elliptic,B2_Louvain,1%,0.9953,1.0,50
elliptic,B2_Louvain,5%,0.9408,1.0,49
elliptic,B2_Louvain,10%,0.6961,1.0,49
elliptic,B3_Greedy,1%,0.21,0.0792,0
elliptic,B3_Greedy,5%,0.1441,0.0792,0
elliptic,B3_Greedy,10%,0.1229,0.0792,0
bitcoin_alpha,BTCS_v3,1%,0.754,0.81,2
bitcoin_alpha,BTCS_v3,5%,0.7688,0.68,5
bitcoin_alpha,BTCS_v3,10%,0.7351,0.93,48
bitcoin_alpha,B0_Random,1%,0.7013,0.8285,1
bitcoin_alpha,B0_Random,5%,0.8782,1.0,0
bitcoin_alpha,B0_Random,10%,0.6427,0.7133,0
bitcoin_alpha,B1_WCC,1%,0.6206,1.0,0
bitcoin_alpha,B1_WCC,5%,0.918,0.87,31
bitcoin_alpha,B1_WCC,10%,0.7857,0.7915,20
bitcoin_alpha,B2_Louvain,1%,0.7091,0.6729,3
bitcoin_alpha,B2_Louvain,5%,0.7451,0.8208,30
bitcoin_alpha,B2_Louvain,10%,0.7366,0.8626,20
bitcoin_alpha,B3_Greedy,1%,0.0908,0.2437,1
bitcoin_alpha,B3_Greedy,5%,0.0909,0.2437,1
bitcoin_alpha,B3_Greedy,10%,0.0914,0.2437,1
bitcoin_otc,BTCS_v3,1%,0.852,0.89,17
bitcoin_otc,BTCS_v3,5%,0.8428,1.0,0
bitcoin_otc,BTCS_v3,10%,0.9087,0.89,3
bitcoin_otc,B0_Random,1%,0.8732,0.972,1
bitcoin_otc,B0_Random,5%,0.9522,1.0,1
bitcoin_otc,B0_Random,10%,0.9294,0.83,1
bitcoin_otc,B1_WCC,1%,0.8173,0.8658,0
bitcoin_otc,B1_WCC,5%,0.5502,1.0,0
bitcoin_otc,B1_WCC,10%,0.9562,0.9171,40
bitcoin_otc,B2_Louvain,1%,0.7456,0.6586,1
bitcoin_otc,B2_Louvain,5%,0.7748,0.7845,0
bitcoin_otc,B2_Louvain,10%,0.9339,0.8867,30
bitcoin_otc,B3_Greedy,1%,0.1576,0.1049,1
bitcoin_otc,B3_Greedy,5%,0.1522,0.1049,1
bitcoin_otc,B3_Greedy,10%,0.1511,0.1049,1
amazon_fraud,BTCS_v3,1%,0.9426,1.0,78
amazon_fraud,BTCS_v3,5%,0.9628,1.0,95
amazon_fraud,BTCS_v3,10%,0.7979,1.0,58
amazon_fraud,B0_Random,1%,0.8241,0.8577,1
amazon_fraud,B0_Random,5%,0.9331,0.89,1
amazon_fraud,B0_Random,10%,0.5177,0.69,2
amazon_fraud,B1_WCC,1%,0.9821,0.97,29
amazon_fraud,B1_WCC,5%,0.9822,0.9759,10
amazon_fraud,B1_WCC,10%,0.7413,0.5245,3
amazon_fraud,B2_Louvain,1%,0.8609,0.9616,28
amazon_fraud,B2_Louvain,5%,0.9624,0.9964,10
amazon_fraud,B2_Louvain,10%,0.6054,0.8807,5
amazon_fraud,B3_Greedy,1%,0.1095,0.0297,0
amazon_fraud,B3_Greedy,5%,0.1099,0.0297,0
amazon_fraud,B3_Greedy,10%,0.1103,0.0297,0
yelp_fraud,BTCS_v3,1%,0.9739,1.0,50
yelp_fraud,BTCS_v3,5%,0.9038,1.0,49
yelp_fraud,BTCS_v3,10%,0.8835,1.0,51
yelp_fraud,B0_Random,1%,0.9873,0.9954,1
yelp_fraud,B0_Random,5%,0.9928,1.0,1
yelp_fraud,B0_Random,10%,0.9957,1.0,1
yelp_fraud,B1_WCC,1%,0.9751,1.0,50
yelp_fraud,B1_WCC,5%,0.9821,1.0,45
yelp_fraud,B1_WCC,10%,0.9908,1.0,39
yelp_fraud,B2_Louvain,1%,0.9754,1.0,50
yelp_fraud,B2_Louvain,5%,0.9828,1.0,45
yelp_fraud,B2_Louvain,10%,0.9917,1.0,39
yelp_fraud,B3_Greedy,1%,0.3124,0.356,1
yelp_fraud,B3_Greedy,5%,0.3114,0.356,1
yelp_fraud,B3_Greedy,10%,0.3112,0.356,1
t_finance,BTCS_v3,1%,0.8976,1.0,81
t_finance,BTCS_v3,5%,0.9553,1.0,91
t_finance,BTCS_v3,10%,0.7266,1.0,80
t_finance,B0_Random,1%,0.9174,0.9273,1
t_finance,B0_Random,5%,0.8607,1.0,2
t_finance,B0_Random,10%,0.4714,0.6535,1
t_finance,B1_WCC,1%,0.9913,1.0,29
t_finance,B1_WCC,5%,0.9154,1.0,12
t_finance,B1_WCC,10%,0.7117,0.9656,15
t_finance,B2_Louvain,1%,0.9892,1.0,29
t_finance,B2_Louvain,5%,0.9565,1.0,12
t_finance,B2_Louvain,10%,0.7145,1.0,8
t_finance,B3_Greedy,1%,0.2046,0.9604,0
t_finance,B3_Greedy,5%,0.2019,0.9604,0
t_finance,B3_Greedy,10%,0.1994,0.9604,0
